S#,Country,Region,Daily_Oil_Consumption(Barrels),World_Share,Yearly_Gallons_Per_Capita,Price_Per_Gallon(USD),Price_Per_Liter(USD),Price_Per_Liter(PKR),GDP_Per_Capita(USD),Gallons_GDP_Per_Capita_Can_Buy,xTimes_Yearly_Gallons_Per_Capita_Buy
21,Taiwan,Asia,981203,0.01,636.9,3.94,1.04,220.17,25936,6583,10
22,Turkey,Asia,941861,0.01,180.9,6.06,1.60,338.40,8536,1409,8
23,Netherlands,Europe,937098,0.01,846.0,9.33,2.47,521.35,52397,5616,7
24,Egypt,Africa,877000,0.01,142.3,1.97,0.52,110.19,3548,1801,13
25,United Arab Emirates,Asia,896000,0.01,1467.3,4.15,1.10,232.02,36285,8743,6
26,Iraq,Asia,857000,0.01,358.9,1.95,0.51,108.71,4158,2132,6
27,Malaysia,Asia,708000,0.01,353.7,1.76,0.46,98.14,10412,5916,17
28,Argentina,South America,709000,0.01,249.8,3.96,1.05,221.23,8579,2166,9
29,Belgium,Europe,631522,0.01,852.6,8.36,2.21,466.99,45159,5402,6
30,South Africa,Africa,640000,0.01,174.6,5.59,1.48,312.60,5091,911,5
31,Venezuela,South America,598000,0.01,307.1,0.08,0.02,4.65,16056,200700,654
32,Poland,Europe,582161,0.01,234.9,6.80,1.80,380.07,15721,2312,10
33,Pakistan,Asia,556000,0.01,41.9,3.90,1.03,217.85,1194,306,7
34,Vietnam,Asia,478000,0.01,78.3,5.38,1.42,300.75,2786,518,7
35,Nigeria,Africa,428000,0.00,35.3,1.57,0.42,87.98,2097,1336,38
36,Colombia,South America,357000,0.00,113.6,2.28,0.60,127.11,5333,2339,21
37,Algeria,Africa,429000,0.00,162.2,1.18,0.31,66.20,3310,2805,17
38,Kuwait,Asia,359000,0.00,1390.9,1.29,0.34,72.33,24812,19234,14
39,Philippines,Asia,429000,0.00,63.4,5.88,1.55,328.46,3299,561,9
40,Chile,South America,351989,0.00,296.3,5.26,1.39,293.77,13232,2516,8
41,Hong Kong,Asia,408491,0.00,864.5,11.35,3.00,634.29,46324,4081,5
42,Kazakhstan,Asia,325000,0.00,279.4,1.80,0.48,100.46,9122,5068,18
43,Austria,Europe,262352,0.00,459.8,8.07,2.13,450.92,48587,6021,13
44,Sweden,Europe,322109,0.00,502.0,8.70,2.30,486.24,52274,6009,12
45,Peru,South America,246000,0.00,121.9,6.26,1.65,349.82,6127,979,8
46,Ukraine,Europe,244000,0.00,83.7,6.44,1.70,359.76,3727,579,7
47,Ecuador,South America,259000,0.00,240.8,4.43,1.17,247.46,5600,1264,5
48,Greece,Europe,296101,0.00,427.6,9.49,2.51,530.02,17623,1857,4
49,Morocco,Africa,275000,0.00,120.0,6.36,1.68,355.53,3009,473,4
50,Libya,Africa,223000,0.00,526.6,0.12,0.03,6.56,3699,30825,59
51,Switzerland,Europe,228194,0.00,417.5,8.27,2.19,462.34,87097,10532,25
52,Qatar,Asia,172000,0.00,993.4,2.18,0.58,121.82,50124,22993,23
53,Ireland,Europe,152404,0.00,497.5,7.84,2.07,437.81,85268,10876,22
54,Denmark,Europe,158194,0.00,424.6,10.04,2.65,561.11,61063,6082,14
55,Israel,Asia,236249,0.00,446.6,7.94,2.10,443.73,44169,5563,12
56,Romania,Europe,200000,0.00,154.9,6.87,1.82,384.08,12896,1877,12
57,Czech Republic (Czechia),Europe,179956,0.00,259.8,7.56,2.00,422.15,22932,3033,12
58,Turkmenistan,Asia,149000,0.00,403.4,1.62,0.43,90.52,7612,4699,12
59,Norway,Europe,204090,0.00,595.8,10.22,2.70,571.26,67390,6594,11
60,New Zealand,Oceania,166913,0.00,549.2,7.82,2.07,436.75,41442,5299,10
61,Cuba,North America,153000,0.00,206.9,4.77,1.26,266.49,9478,1987,10
62,Oman,Asia,183000,0.00,626.3,2.35,0.62,131.34,12660,5387,9
63,Hungary,Europe,155544,0.00,244.5,7.60,2.01,424.48,15981,2103,9
64,Finland,Europe,210030,0.00,585.7,10.01,2.64,559.21,48773,4872,8
65,Portugal,Europe,236866,0.00,351.7,8.55,2.26,477.78,22176,2594,7
66,Panama,North America,155000,0.00,588.6,5.49,1.45,306.68,12510,2279,4
67,Lebanon,Asia,153000,0.00,349.3,5.41,1.43,302.23,4650,860,2
68,Bangladesh,Asia,113000,0.00,11.0,3.59,0.95,200.50,1969,548,50
69,Angola,Africa,133000,0.00,70.7,1.39,0.37,77.83,1896,1364,19
70,Syria,Asia,140000,0.00,122.9,1.08,0.29,60.49,2033,1882,15
71,Puerto Rico,North America,96746,0.00,451.7,5.41,1.43,302.23,32291,5969,13
72,Azerbaijan,Asia,96000,0.00,151.2,2.23,0.59,124.36,4214,1890,12
73,Belarus,Europe,137000,0.00,222.3,2.67,0.71,149.11,6411,2401,11
74,Guatemala,North America,93000,0.00,86.0,5.14,1.36,287.01,4603,896,10
75,Kenya,Africa,114000,0.00,35.6,5.14,1.36,287.01,1838,358,10
76,Tunisia,Africa,97000,0.00,131.5,2.86,0.76,159.68,3320,1161,9
77,Sri Lanka,Asia,127000,0.00,92.6,4.75,1.26,265.43,3682,775,8
78,Myanmar,Asia,123000,0.00,35.5,4.75,1.26,265.43,1400,295,8
79,Bulgaria,Europe,97000,0.00,207.9,6.53,1.72,364.63,10079,1543,7
80,Dominican Republic,North America,133000,0.00,196.1,5.33,1.41,298.00,7268,1364,7
81,Jordan,Asia,114000,0.00,182.9,6.30,1.66,351.94,4283,680,4
82,Sudan,Africa,140000,0.00,53.9,4.80,1.27,268.18,596,124,2
83,Bolivia,South America,90000,0.00,125.1,2.06,0.54,115.06,3143,1526,12
84,Ghana,Africa,88000,0.00,47.4,4.87,1.29,271.99,2329,478,10
85,Ethiopia,Africa,74000,0.00,10.9,2.70,0.71,150.59,936,347,32
86,Slovakia,Europe,81587,0.00,229.8,7.50,1.98,418.98,19267,2569,11
87,Serbia,Europe,74000,0.00,128.1,6.64,1.76,371.18,7721,1163,9
88,Tanzania,Africa,71999,0.00,20.8,4.86,1.28,271.57,1077,222,11
89,Croatia,Europe,69000,0.00,251.3,7.24,1.91,404.39,14134,1952,8
90,Bahrain,Asia,62000,0.00,666.6,2.01,0.53,112.31,20410,10154,15
91,Yemen,Asia,60000,0.00,33.9,1.96,0.52,109.35,824,420,12
92,Costa Rica,North America,55000,0.00,172.1,5.87,1.55,327.83,12141,2068,12
93,Luxembourg,Europe,56194,0.00,1487.2,7.91,2.09,441.82,115874,14649,10
94,Uruguay,South America,53000,0.00,237.3,7.64,2.02,427.02,15438,2021,9
95,Lithuania,Europe,61612,0.00,326.9,8.11,2.14,453.24,20234,2495,8
96,Trinidad and Tobago,North America,57000,0.00,634.3,3.76,0.99,210.02,15426,4103,6
97,Honduras,North America,58000,0.00,95.9,5.49,1.45,306.46,2406,438,5
98,Jamaica,North America,54000,0.00,284.8,6.36,1.68,355.32,4665,733,3
99,Uzbekistan,Asia,49000,0.00,23.9,3.39,0.90,189.29,1686,497,21
100,Côte d'Ivoire,Africa,51000,0.00,32.8,4.47,1.18,249.57,2325,520,16
101,Slovenia,Europe,52298,0.00,386.5,6.15,1.62,343.48,25517,4149,11
102,Paraguay,South America,51000,0.00,115.4,5.30,1.40,295.89,4950,934,8
103,El Salvador,North America,52000,0.00,125.4,4.31,1.14,240.90,3799,881,7
104,Cambodia,Asia,48000,0.00,46.7,5.78,1.53,322.96,1513,262,6
105,Cyprus,Europe,52000,0.00,681.2,7.04,1.86,393.18,26624,3782,6
106,Senegal,Africa,49000,0.00,50.1,5.39,1.42,300.96,1488,276,6
107,Malta,Europe,47000,0.00,1652.2,5.28,1.40,295.04,27885,5281,3
108,Cameroon,Africa,40000,0.00,25.6,3.93,1.04,219.33,1499,381,15
109,Afghanistan,Asia,35000,0.00,15.2,3.62,0.96,201.98,509,141,9
110,Nepal,Asia,43000,0.00,24.2,5.39,1.42,301.18,1155,214,9
111,Latvia,Europe,37694,0.00,292.7,8.28,2.19,462.55,17726,2141,7
112,Benin,Africa,36000,0.00,50.8,3.63,0.96,202.83,1291,356,7
113,Papua New Guinea,Oceania,37001,0.00,68.6,5.87,1.55,327.83,2637,449,7
114,Bosnia and Herzegovina,Europe,35000,0.00,158.4,6.55,1.73,366.11,6032,921,6
115,Mozambique,Africa,40000,0.00,22.0,4.94,1.30,275.80,449,91,4
116,Nicaragua,North America,37000,0.00,90.0,5.18,1.37,289.54,1905,368,4
117,Kyrgyzstan,Asia,40000,0.00,100.9,3.14,0.83,175.55,1174,374,4
